Ticker,Date,Open,Close,High,Low,Volume
AAPL,2025-01-02,248.93,243.82,249.05,241.83,1720825
AAPL,2025-01-03,243.38,243.49,244.17,241.89,1181819
AAPL,2025-01-06,244.31,245.03,247.33,243.88,970522
AAPL,2025-01-07,242.77,242.25,245.54,241.36,1047305
AAPL,2025-01-08,242,242.63,243.68,240.07,868960
AAPL,2025-01-10,240.02,236.87,240.17,233,1712587
AAPL,2025-01-13,233.61,234.41,234.67,229.72,1352703
AAPL,2025-01-14,234.79,233.35,236.1,232.48,1051438
AAPL,2025-01-15,234.64,237.77,238.52,234.45,1048169
AAPL,2025-01-16,237.53,228.24,238,228.04,1917016
AAPL,2025-01-17,232.12,229.96,232.12,228.51,1128827
AAPL,2025-01-21,224.26,222.59,224.39,219.39,2272502
AAPL,2025-01-22,219.94,223.8,223.98,219.8,1380346
AAPL,2025-01-23,224.75,223.61,227.03,222.3,1396837
AAPL,2025-01-24,224.98,222.85,225.63,221.42,1286214
AAPL,2025-01-27,224.05,229.98,232.14,224.01,2655574
AAPL,2025-01-28,230.85,238.25,240.19,230.85,2008090
AAPL,2025-01-29,234.17,239.28,239.85,234.03,1126175
AAPL,2025-01-30,238.78,237.53,240.77,237.23,1412712
AAPL,2025-01-31,247.06,235.89,247.19,233.45,2072599
AAPL,2025-02-03,230.04,227.92,231.82,225.7,2273101
AAPL,2025-02-04,227.27,232.81,233.13,226.66,1317854
AAPL,2025-02-05,228.4,232.53,232.67,228.3,920399
AAPL,2025-02-06,231.33,233.19,233.78,230.44,782002
AAPL,2025-02-07,232.57,227.58,234,227.27,927026
AAPL,2025-02-10,229.61,227.65,230.58,227.2,734275
AAPL,2025-02-11,228.2,232.61,235.23,228.13,1201207
AAPL,2025-02-12,231.32,236.83,236.92,230.77,1238473
AAPL,2025-02-13,236.97,241.51,242.33,235.6,1210837
AAPL,2025-02-14,241.21,244.58,245.41,240.98,1219094
AAPL,2025-02-18,244.04,244.42,245.18,241.84,1233743
AAPL,2025-02-19,244.66,244.87,246.01,243.18,713140
